,Scenario_name,SAF1,SAF1_3,SAF1_4,SAF2,SAF2_1,SAF2_2,SAF2_3,SAF3,SAF4,SAF5,SAF5_1,#Aircraft_number,#Succeful_aircraft_number,#Spawned_aircraft_number,AEQ3,EFF1,EFF2,EFF3,EFF4,EFF5,SAF1_2,ENV4
0,baseline_very_low_40_0_,2856.0,2496.0,360.0,75.0,1.0,60.0,15.0,97.37394957983193,0.0351965,268.0,3.5733333333333333,1667.0,1667.0,1667.0,153.53587307032956,79.54902883642487,3.0359523789077985,2.525512476795992,78.74224699951664,77.58758063116363,1.713257348530294,3.0545635597042264
1,gridsectors_very_low_40_0_,3005.0,2648.0,357.0,97.0,2.0,81.0,16.0,96.7720465890183,0.0058895,318.0,3.2783505154639174,1667.0,1667.0,1667.0,150.11356038253064,78.8014414893484,3.028409935894356,2.5197494270801353,78.00724291891214,76.72466912368887,1.802639472105579,3.0608435898945707
2,headalloc_very_low_40_0_,5403.0,4625.0,778.0,237.0,53.0,200.0,37.0,95.61354802887286,0.0102835,1803.5,7.609704641350211,1667.0,1667.0,1667.0,168.1346618991698,79.46504696383919,4.845786437667345,3.054300580613988,79.02878770260841,76.09402353153985,3.2411517696460708,1.8153950362378413
3,headallocnoflow_very_low_40_0_,6020.0,4892.0,1128.0,259.0,46.0,228.0,31.0,95.69767441860465,0.0044667,2031.5,7.843629343629344,1667.0,1667.0,1667.0,179.76222818285422,78.42128059085756,4.751960634164552,3.0220612360843937,77.9881422182305,74.66114247386534,3.61127774445111,1.9071561289866623
4,headingcr_very_low_40_0_,2856.0,2497.0,359.0,75.0,1.0,60.0,15.0,97.37394957983193,0.0351965,268.0,3.5733333333333333,1667.0,1667.0,1667.0,153.53587307032956,79.54902883642487,3.0359523789077985,2.525512476795992,78.74224699951664,77.58758063116363,1.713257348530294,3.0545635597042264
5,noflow_very_low_40_0_,2997.0,2648.0,349.0,86.0,0.0,71.0,15.0,97.13046379713046,0.0692286,268.0,3.116279069767442,1667.0,1667.0,1667.0,156.27448867254154,78.42355463538013,3.0177317436906868,2.5106535077295917,77.63416604678605,76.39265361473474,1.7978404319136172,3.0517599163118296
6,1to1_very_low_40_0_,,,,,,,,,,,,,,,,,,,,,,2.9609432440446586
